network,mode,N,E,diam_uw,diam_w,asp_uw,asp_w,gamma,alpha,deg_avg,deg_sd,deg_max,deg_min,close_uw_avg,close_uw_sd,close_uw_max,close_uw_min,close_w_avg,close_w_sd,close_w_max,close_w_min,betw_uw_avg,betw_uw_sd,betw_uw_max,betw_uw_min,betw_w_avg,betw_w_sd,betw_w_max,betw_w_min
Toronto,Tram,298.0,438.0,117.0,9576.79,41.53,3439.68,0.4932,0.2386,0.0099,0.0036,0.0236,0.0067,0.0257,0.0066,0.0407,0.0137,0.0003,0.0001,0.0005,0.0002,0.1369,0.1201,0.6933,0.0,0.1369,0.1201,0.6933,0.0
Valencia,Subway,95.0,190.0,47.0,6912.9,16.73,2063.96,0.681,0.5189,0.0426,0.0093,0.0851,0.0213,0.064,0.0165,0.098,0.0358,0.0005,0.0001,0.0008,0.0002,0.1691,0.127,0.6205,0.0,0.1691,0.1273,0.6255,0.0
Zagreb,Tram,114.0,248.0,37.0,4381.19,12.02,1446.8,0.7381,0.6054,0.0385,0.0135,0.0885,0.0088,0.0873,0.0241,0.1265,0.0,0.0002,0.0001,0.0003,0.0,0.0995,0.0757,0.3495,0.0,0.101,0.0756,0.3518,0.0
Zurich,Tram,204.0,445.0,43.0,2824.62,14.88,1006.15,0.3713,0.0546,0.0215,0.0076,0.0591,0.0099,0.0715,0.0176,0.1095,0.0382,0.00104,0.00023,0.00153,0.0006,0.06873,0.07232,0.37314,0.0,0.07,0.0684,0.3464,0.0
Frankfurt,Rail,106.0,216.0,33.0,4427.78,13.98,1789.87,0.6923,0.5362,0.0388,0.0101,0.0762,0.019,0.0752,0.0172,0.1168,0.0462,0.00059,0.00014,0.00091,0.00037,0.12488,0.1234,0.57937,0.0,0.1249,0.1287,0.6791,0.0
Goteborg,Tram,133.0,150.0,35.0,3428.62,11.93,1265.01,0.3817,0.069,0.0171,0.0058,0.0455,0.0076,0.0899,0.0224,0.131,0.0471,0.00083,0.00018,0.0012,0.00048,0.08342,0.08186,0.40076,0.0,0.088,0.0708,0.3427,0.0
Karlsruhe,Tram,131.0,260.0,46.0,3090.39,14.82,923.51,0.67,0.51,0.0305,0.0092,0.0769,0.0077,0.0719,0.0174,0.1072,0.0384,0.00115,0.00027,0.00164,0.00055,0.10714,0.10426,0.86667,0.0,0.1074,0.1033,0.5367,0.0
Kassel,Tram,131.0,279.0,48.0,4910.21,16.13,1512.85,0.3695,0.0506,0.0168,0.0048,0.0385,0.0077,0.0662,0.016,0.0969,0.0335,0.00071,0.00017,0.00103,0.00031,0.11728,0.10419,0.5755,0.0,0.1211,0.1134,0.5754,0.0
Lausanne,Bus,153.0,318.0,32.0,2944.51,11.78,1017.51,0.3929,0.0864,0.0273,0.0088,0.0592,0.0131,0.0904,0.0221,0.1386,0.0501,0.001,0.0002,0.0015,0.0006,0.0714,0.0732,0.4105,0.0,0.0724,0.0745,0.4206,0.0
Leipzig,Rail,146.0,322.0,35.0,8542.79,12.72,2936.63,0.7454,0.6167,0.0304,0.012,0.1103,0.0138,0.0807,0.0194,0.1243,0.0456,0.00036,9e-05,0.00053,0.00018,0.08429,0.10283,0.55986,0.0,0.0869,0.1017,0.5084,0.0
Melbourne,Rail,314.0,758.0,50.0,28868.4,12.68,5554.27,0.8098,0.7143,0.0154,0.0078,0.0735,0.0032,0.0859,0.0224,0.1368,0.0296,0.00021,7e-05,0.00032,6e-05,0.03728,0.06652,0.5427,0.0,0.0454,0.0706,0.5707,0.0
Paris,Rail,249.0,571.0,44.0,8711.44,14.15,2807.24,0.7706,0.6552,0.0185,0.0082,0.0685,0.0081,0.0754,0.0182,0.118,0.0321,0.00038,8e-05,0.00019,0.00054,0.05325,0.07939,0.56697,0.0,0.0566,0.0749,0.4766,0.0
Zurich,Rail,274.0,660.0,31.0,8234.81,9.84,2663.12,0.8088,0.713,0.0176,0.0088,0.0769,0.0073,0.1087,0.0266,0.1822,0.0456,0.0004,9e-05,0.00062,0.00018,0.0325,0.0652,0.6332,0.0,0.0368,0.0548,0.4566,0.0
Basel,Bus,309.0,678.0,50.0,4335.0,18.0,1662.0,0.74,0.6,0.014,0.0052,0.039,0.0065,0.0589,0.012,0.0829,0.032,0.00062,0.00011,0.00083,0.00035,0.055,0.0662,0.44,0.0,0.057,0.0621,0.354,0.0
Berlin (Metro),Tram,395.0,816.0,100.0,14800.0,36.17,2592.94,0.6992,0.5376,0.0105,0.0033,0.0254,0.0025,0.0308,0.0082,0.0433,0.0,0.03079,0.00821,0.04334,0.0,0.07506,0.09874,0.42311,0.0,0.0751,0.0987,0.4231,0.0
Freiburg,Bus,206.0,268.0,35.0,4757.95,11.73,1484.3,0.4379,0.1548,0.0127,0.0051,0.0439,0.0049,0.0891,0.0182,0.1336,0.0461,0.0007,0.00012,0.00094,0.00034,0.05262,0.06536,0.4964,0.0,0.059,0.056,0.3041,0.0
Goteborg,Rail,121.0,164.0,21.0,1547.5,7.33,1018.87,0.4593,0.1856,0.0226,0.0121,0.0917,0.0083,0.1454,0.035,0.2335,0.0726,0.01206,0.00327,0.01353,0.00109,0.05318,0.08974,0.60889,0.0,0.0532,0.0897,0.6089,0.0
Helsinki,Rail,61.0,139.0,19.0,8541.9,6.87,2224.68,0.79,0.68,0.076,0.028,0.17,0.033,0.15,0.037,0.24,0.077,0.00051,0.00014,0.00068,0.00017,0.1,0.14,0.59,0.0,0.11,0.12,0.52,0.0
London,Tram,84.0,89.0,15.0,1919.95,6.7,714.7,0.362,0.0368,0.0255,0.0078,0.06,0.012,0.0682,0.0213,0.122,0.03,0.00065,0.00022,0.00114,0.00032,0.041,0.0344,0.177,0.0,0.0467,0.037,0.1566,0.0
Oslo,Subway,101.0,102.0,38.0,3840.42,14.41,1476.95,0.6835,0.522,0.0402,0.0091,0.08,0.02,0.0739,0.0184,0.1082,0.0415,0.00072,0.00017,0.00103,0.00039,0.1355,0.11391,0.58424,0.0,0.1356,0.111,0.5911,0.0
Paris (Metro),Tram,233.0,449.0,52.0,5543.82,18.97,1965.05,0.648,0.471,0.0166,0.003,0.0259,0.0086,0.0556,0.0125,0.0756,0.03337,0.00052,0.00012,0.00072,0.0003,0.27227,0.01183,0.62958,0.0,0.27228,0.15712,0.62958,0.0
Prague,Subway,57.0,57.0,23.0,1934.4,9.42,798.09,0.3455,0.0092,0.0357,0.0102,0.0714,0.0179,0.1138,0.0004,0.1767,0.0663,0.00136,0.00039,0.00213,0.00078,0.1531,0.11702,0.54091,0.0,0.1531,0.117,0.5409,0.0
Toronto,Subway,76.0,150.0,35.0,4398.8,13.4,1448.05,0.3468,0.0136,0.0541,0.0108,0.1081,0.027,0.0796,0.0205,0.1205,0.0456,0.0008,0.0002,0.0011,0.0004,0.1703,0.1355,0.6459,0.0,0.1703,0.13607,0.65161,0.0
Vienna,Subway,98.0,209.0,27.0,2679.88,10.57,954.34,0.726,0.586,0.044,0.0151,0.1031,0.0206,0.1005,0.0251,0.1506,0.0566,0.0011,0.0003,0.0017,0.0006,0.1002,0.0843,0.3884,0.0,0.1004,0.0845,0.3954,0.0
